timestamp,open,high,low,close,volume,price_change
2024-09-24 19:55:00,221.11,221.11,221.11,221.11,5,0.0
2024-09-24 19:50:00,220.7,220.7,220.7,220.7,3,0.0
2024-09-24 19:45:00,221.11,221.11,221.11,221.11,1,0.0
2024-09-24 19:35:00,221.1,221.1,221.1,221.1,5,0.0
2024-09-24 19:10:00,220.93,221.12,220.91,221.0,142,0.03168424387814836
2024-09-24 19:05:00,220.7012,220.7012,220.7012,220.7012,1,0.0
2024-09-24 19:00:00,220.97,220.97,220.97,220.97,771376,0.0
2024-09-24 18:55:00,221.1,221.1,221.1,221.1,8,0.0
2024-09-24 18:45:00,220.91,220.91,220.91,220.91,2,0.0
2024-09-24 18:35:00,221.0,221.0,221.0,221.0,7,0.0
2024-09-24 18:30:00,220.97,220.97,220.97,220.97,771376,0.0
2024-09-24 18:20:00,221.1,221.1,221.09,221.09,2,-0.0045228403437317525
2024-09-24 18:15:00,220.97,221.09,220.97,221.0,42,0.013576503597773968
2024-09-24 18:10:00,220.96,220.96,220.96,220.96,16,0.0
2024-09-24 17:55:00,220.95,220.95,220.95,220.95,20,0.0
2024-09-24 17:45:00,220.97,220.97,220.97,220.97,7,0.0
2024-09-24 17:35:00,220.97,220.97,220.7,220.7,67,-0.1221885323799657
2024-09-24 17:30:00,220.96,220.96,220.95,220.95,12,-0.004525706010146328
2024-09-24 17:25:00,220.95,220.95,220.95,220.95,50,0.0
2024-09-24 17:20:00,220.74,220.74,220.74,220.74,4,0.0
2024-09-24 17:15:00,220.95,220.95,220.95,220.95,2,0.0
2024-09-24 17:00:00,220.95,220.95,220.95,220.95,1,0.0
2024-09-24 16:50:00,220.97,220.97,220.0296,220.95,241,-0.009051002398520266
2024-09-24 16:40:00,220.95,220.95,220.57,220.57,8,-0.17198461190314346
2024-09-24 16:35:00,221.0,221.0,220.97,220.97,6,-0.013574660633484677
2024-09-24 16:30:00,221.0,221.0,221.0,221.0,7,0.0
2024-09-24 16:25:00,220.0,220.0,220.0,220.0,6,0.0
2024-09-24 16:20:00,220.3,220.3,220.3,220.3,5,0.0
2024-09-24 16:15:00,220.97,221.0,220.5,220.95,17,-0.009051002398520266
2024-09-24 16:10:00,220.97,221.01,220.57,220.57,771615,-0.1810200479703153
2024-09-24 16:05:00,220.97,221.13,220.97,221.12,645,0.06788251798886984
2024-09-24 16:00:00,221.01,221.25,220.97,220.97,1605876,-0.018098728564314756
2024-09-24 15:55:00,220.73,221.16,220.725,221.01,179054,0.12685180990350253
2024-09-24 15:50:00,220.51,220.79,220.51,220.7607,50113,0.113690989070801
2024-09-24 15:45:00,220.42,220.59,220.42,220.52,29909,0.0453679339442985
2024-09-24 15:40:00,220.325,220.45,220.29,220.41,21495,0.038579371383187545
2024-09-24 15:35:00,220.37,220.48,220.293,220.33,26166,-0.018151291010569514
2024-09-24 15:30:00,220.305,220.44,220.305,220.38,25829,0.0340437121263651
2024-09-24 15:25:00,220.325,220.38,220.24,220.29,22110,-0.015885623510721248
2024-09-24 15:20:00,220.24,220.34,220.24,220.34,22711,0.04540501271340098
2024-09-24 15:15:00,220.35,220.43,220.24,220.241,15060,-0.04946675743135033
2024-09-24 15:10:00,220.3,220.5,220.27,220.4,20385,0.04539264639128203
2024-09-24 15:05:00,220.29,220.41,220.25,220.295,19169,0.0022697353488562587
2024-09-24 15:00:00,220.09,220.29,220.01,220.25,13714,0.07269753282747812
2024-09-24 14:55:00,220.0,220.19,220.0,220.1,9846,0.04545454545454287
2024-09-24 14:50:00,219.9201,220.12,219.9201,220.0,8397,0.036331376713637904
2024-09-24 14:45:00,220.085,220.18,219.98,219.98,12929,-0.04770883976646213
2024-09-24 14:40:00,219.84,220.11,219.77,220.105,13727,0.12054221251818883
2024-09-24 14:35:00,219.295,219.83,219.27,219.79,31389,0.22572334070544453
2024-09-24 14:30:00,219.41,219.41,219.13,219.2937,50406,-0.05300578825030556
2024-09-24 14:25:00,219.69,219.71,219.45,219.46,60192,-0.10469297646683498
2024-09-24 14:20:00,219.83,219.8387,219.61,219.7,37385,-0.05913660555885178
2024-09-24 14:15:00,219.961,220.0,219.77,219.805,10218,-0.0709216633857847
2024-09-24 14:10:00,219.98,220.27,219.85,219.965,35832,-0.006818801709240093
2024-09-24 14:05:00,219.96,220.06,219.91,220.01,16141,0.02273140571012136
2024-09-24 14:00:00,220.395,220.435,219.93,219.93,35639,-0.21098482270469082
2024-09-24 13:55:00,220.445,220.47,220.3,220.385,18706,-0.027217673342558132
2024-09-24 13:50:00,220.42,220.4799,220.38,220.44,18169,0.009073586788862277
2024-09-24 13:45:00,220.33,220.4599,220.21,220.425,25749,0.04311714246811549
2024-09-24 13:40:00,220.37,220.4395,220.31,220.36,26029,-0.0045378227526391545
2024-09-24 13:35:00,220.47,220.5,220.25,220.37,25779,-0.04535764503106741
2024-09-24 13:30:00,220.46,220.55,220.41,220.42,15192,-0.01814388097615008
2024-09-24 13:25:00,220.47,220.4933,220.38,220.42,10310,-0.02267882251554015
2024-09-24 13:20:00,220.63,220.635,220.45,220.51,16258,-0.054389702216382424
2024-09-24 13:15:00,220.945,220.945,220.71,220.73,12384,-0.09730928511620694
2024-09-24 13:10:00,220.755,220.96,220.755,220.935,165234,0.0815383570021095
2024-09-24 13:05:00,220.73,220.83,220.7,220.775,20504,0.02038689802021289
2024-09-24 13:00:00,220.63,220.88,220.63,220.73,14674,0.045324751846981065
2024-09-24 12:55:00,220.46,220.67,220.46,220.645,12909,0.08391544951465221
2024-09-24 12:50:00,220.55,220.72,220.47,220.47,20539,-0.03627295397869531
2024-09-24 12:45:00,220.46,220.54,220.38,220.52,41978,0.027215821464212225
2024-09-24 12:40:00,220.37,220.465,220.35,220.445,37439,0.03403367064481946
2024-09-24 12:35:00,220.39,220.39,220.22,220.33,59075,-0.027224465719848382
2024-09-24 12:30:00,220.3,220.39,220.202,220.39,29434,0.04085338175214479
2024-09-24 12:25:00,220.415,220.415,220.24,220.285,19811,-0.058979652020051024
2024-09-24 12:20:00,220.64,220.65,220.34,220.4563,25241,-0.08325779550398275
2024-09-24 12:15:00,220.44,220.65,220.31,220.64,43083,0.09072763563781013
2024-09-24 12:10:00,220.37,220.5,220.3629,220.5,31466,0.0589916957843606
2024-09-24 12:05:00,220.31,220.4499,220.29,220.29,28592,-0.009078117198497677
2024-09-24 12:00:00,220.39,220.45,220.2486,220.335,10220,-0.02495576024319543
2024-09-24 11:55:00,220.65,220.65,220.33,220.33,25651,-0.14502605937003998
2024-09-24 11:50:00,220.23,220.695,220.21,220.65,13199,0.19070971257322614
2024-09-24 11:45:00,220.335,220.45,220.21,220.265,15628,-0.03176980506956298
2024-09-24 11:40:00,220.34,220.3999,220.165,220.3999,12477,0.027185259144957317
2024-09-24 11:35:00,220.75,220.765,220.38,220.38,28860,-0.16761041902604962
2024-09-24 11:30:00,220.82,220.99,220.7001,220.75,43657,-0.03170002717144877
2024-09-24 11:25:00,220.915,220.915,220.74,220.78,18006,-0.061109476495480576
2024-09-24 11:20:00,221.01,221.13,220.89,220.96,17907,-0.02262341070539023
2024-09-24 11:15:00,221.0,221.07,220.86,221.07,16773,0.03167420814479329
2024-09-24 11:10:00,220.65,221.19,220.65,220.9139,18902,0.11960117833673542
2024-09-24 11:05:00,220.675,221.02,220.589,220.65,23500,-0.011328877308261327
2024-09-24 11:00:00,220.8725,220.91,220.63,220.675,19597,-0.08941810320433323
2024-09-24 10:55:00,220.98,221.095,220.9201,220.925,46565,-0.024889130238020817
2024-09-24 10:50:00,220.3444,220.9599,220.29,220.9599,48784,0.27933544033794244
2024-09-24 10:45:00,220.535,220.65,220.211,220.35,36070,-0.08388691137461278
2024-09-24 10:40:00,220.0,220.58,219.98,220.545,52271,0.24772727272726705
2024-09-24 10:35:00,219.625,219.98,219.59,219.98,18644,0.16163915765508927
2024-09-24 10:30:00,219.74,220.07,219.59,219.59,40471,-0.06826249203604517
2024-09-24 10:25:00,219.4007,219.685,219.31,219.685,38709,0.1295802611386389
2024-09-24 10:20:00,219.62,219.72,219.25,219.38,21913,-0.10927966487569853
